47.51	8.51
50.46	6.06
57.03	9.56
48.5	10.06
47.23	8.03
47.03	7.17
47.19	7.54
56.1	10.13
49.15	10.58
48.49	11.51
57.08	-2.06
5.19	-4.02
32.28	-99.43
24.28	54.25
16.5	-99.55
5.33	0.15
48.38	8.04
52.04	10.36
37	35.19
9.02	38.47
-34.56	138.36
49.24	9.24
12.46	45.01
50.23	6.56
47.19	8.31
50.45	12.53
47.17	8.27
17	7.56
30.3	-9.4
45.59	8.51
52.04	7
51.45	7.55
23	72.4
53.41	10.15
48.28	11.08
48.38	9.16
46.19	6.58
51.51	12.03
41.05	81.31
65.41	-18.04
20.09	92.55
30.59	31.1
31.34	-84.09
42.39	-73.45
48.15	9.01
35.05	-106.39
36.14	37.1
31.13	29.55
31.18	-92.27
38.48	-77.03
51.59	9.5
36.47	3.03
50.3	8.11
40.36	-75.28
48.41	15.19
47.33	7.32
51.24	11.23
25.26	49.37
48.2	8.25
50.53	6.1
50.45	9.16
51.42	11.4
49.23	11.21
51.18	7.4
51.48	10.27
50.46	13.46
50.59	12.27
49.27	7.19
48.35	8.36
53.41	13.15
48.04	13.02
52.34	13.44
40.31	-78.24
48.14	12.41
47.23	9.32
50.05	9.04
49.45	8.07
38.45	-9.13
35.12	-101.5
-1.18	-78.39
48.04	10.41
31.57	35.56
50.02	8.16
49.39	9.13
47.32	9.18
52.23	4.54
48.07	14.52
33.5	-117.55
61.13	-149.53
50.26	7.24
42.3	1.3
15.09	120.33
53.02	14
39.56	32.52
53.52	13.42
42.17	-83.45
36.55	7.47
50.34	13
51.44	13.02
38.59	-76.3
49.12	7.58
49.17	10.34
48.12	14.17
-18.52	47.3
-23.39	-70.24
-19.51	47.01
-12.25	49.2
51.13	4.25
52.13	5.57
-13.5	-171.44
51.01	11.3
47.31	9.26
52.52	11.29
-16.24	-71.33
36.52	10.12
-18.3	-70.2
38.53	-77.07
52.4	12
54.38	9.55
51.23	8.04
50.5	10.57
49.24	12.44
51.22	11.18
-3.23	36.4
50.04	12.12
49.58	9.09
51.45	11.28
46.09	8.46
35.36	-82.33
15.2	38.58
48.54	9.07
27.14	31.07
50.36	8.28
26.48	-11.41
-25.16	-57.4
17.42	34
37.58	23.43
33.45	-84.24
39.22	-74.26
51.07	7.54
48	13.43
49.33	10.04
46.29	6.24
-36.51	174.45
50.35	12.42
50.31	12.24
49.42	11.38
48.22	10.53
33.28	-81.58
50.49	13.06
47.57	9.38
50.42	11.56
53.28	7.29
30.16	-97.45
46.53	7.03
47.12	8.31
49.58	8.57
32.32	44.25
50.04	7.46
